id,title,year,runtime
tt0000009,"Miss Jerry",1894,45
tt0000147,"The Corbett-Fitzsimmons Fight",1897,20
tt0000335,"Soldiers of the Cross",1900,
tt0000502,Bohemios,1905,100
tt0000574,"The Story of the Kelly Gang",1906,70
tt0000584,"El ciego de la aldea",1907,75
tt0000615,"Robbery Under Arms",1907,
tt0000630,Hamlet,1908,
tt0000675,"Don Quijote",1908,
tt0000676,"Don Álvaro o la fuerza del sino",1908,
tt0000679,"The Fairylogue and Radio-Plays",1908,120
tt0000739,"El pastorcito de Torrente",1908,
tt0000793,"Andreas Hofer",1909,
tt0000812,"El blocao Velarde",1909,
tt0000814,"La bocana de Mar Chica",1909,
tt0000838,"A Cultura do Cacau",1909,
tt0000842,"De Garraf a Barcelona",1909,
tt0000846,"Un día en Xochimilco",1909,
tt0000850,"Los dos hermanos",1909,
tt0000859,"Fabricación del corcho en Sant Feliu de Guixols",1909,
tt0000862,Faldgruben,1909,
tt0000867,"Fiesta de toros",1909,
tt0000868,"Fiestas de Santa Lucía - Belenes",1909,
tt0000869,"Fiestas en La Garriga",1909,
tt0000879,"Gira política de Madero y Pino Suárez",1909,
tt0000886,"Hamlet, Prince of Denmark",1910,
tt0000891,"Cycle Rider and the Witch",1909,
tt0000941,"Locura de amor",1909,
tt0000947,"Lægens offer",1909,
tt0000959,"Melilla y el Gurugu",1909,
tt0000984,"Niños en la alameda",1909,
tt0000992,"De onde Veje",1909,
tt0001007,"La primera y segunda casetas",1909,
tt0001010,"Protección de un convoy de víveres en el puente de camellos",1909,
tt0001028,"Salome Mad",1909,
tt0001038,"Sherlock Holmes VI",1910,
tt0001043,"Smith's Knockabout Theatre",1909,
tt0001045,"Le songe d'une nuit d'été",1909,
tt0001049,"Gøngehøvdingen",1909,
tt0001051,"El sueño milagroso",1909,
tt0001059,"O Terremoto de Benavente",1909,
tt0001068,"Toma caseta Z",1909,
tt0001069,"Toma del Gurugu",1909,
tt0001080,"Two of the Boys",1909,
tt0001081,"La vida en el campamento",1909,
tt0001082,"Viernes de dolores",1909,
tt0001101,"Abraham Lincoln's Clemency",1910,
tt0001109,"L'aluminite",1910,
tt0001112,Amleto,1910,
tt0001113,"Amor gitano",1910,
tt0001115,"Ansigttyven I",1910,
tt0001116,"Ansigttyven II",1910,
tt0001122,"The Red Inn",1910,
tt0001141,"The Butterfly",1910,
tt0001142,"By Order of Napoleon",1910,
tt0001147,"O Centenário da Guerra Peninsular",1910,
tt0001159,"The Connecticut Yankee",1910,
tt0001163,"Corrida da Rampa",1910,
tt0001175,Camille,1912,
tt0001179,"Desfile histórico del centenario",1910,
tt0001184,"Don Juan de Serrallonga",1910,58
tt0001186,"Dorothy and the Scarecrow in Oz",1910,
tt0001203,"Excursión al Gombreny",1910,
tt0001230,"Gentleman Joe",1910,
tt0001240,Hamlet,1911,
tt0001247,"His Brother's Wife",1910,
tt0001258,"The White Slave Trade",1910,45
tt0001277,Kapergasten,1910,
tt0001285,"The Life of Moses",1909,
tt0001304,Mannequins,1913,
tt0001338,"A Night in May",1910,
tt0001341,"Jarní sen starého mládence",1913,
tt0001348,"Orientalsk dans",1910,
tt0001353,Paganini,1910,
tt0001358,"Peder Tordenskjold",1910,
tt0001359,"A Pesca do Bacalhau",1910,
tt0001364,"El pobre Valbuena",1910,
tt0001366,"Un portero modelo",1910,
tt0001370,"Rainha Depois de Morta Inês de Castro",1910,
tt0001379,"A Record Hustle Through Foggy London",1910,
tt0001381,"En rekrut fra 64",1910,
tt0001382,"Revolução de 5 de Outubro",1910,
tt0001386,"Le roi des parfums",1910,
tt0001422,"Trail to the West",1910,
tt0001440,"Valdemar Sejr",1910,
tt0001465,"As Últimas Inundações do Tejo em Santarém",1910,
tt0001475,"Amor fatal",1911,
tt0001482,"As in a Looking Glass",1911,
tt0001495,"A Balkan Episode",1911,
tt0001498,"The Battle of Trafalgar",1911,51
tt0001515,"The Brand",1911,
tt0001521,"En bryllupsaften",1911,
tt0001530,"The Bushranger's Bride",1911,
tt0001531,"Captain Starlight, or Gentleman of the Road",1911,
tt0001555,"Cortejo Cívico",1911,
tt0001569,"The Daddy's Dream",1911,
tt0001573,"De Gerona a Olot en ferrocarril (De Olot a Gerona en ferrocarril)",1911,
tt0001580,"Le devoir et l'honneur",1911,
tt0001583,"La digue",1911,
tt0001586,"A Dog's Tale",1911,
tt0001587,"Don Pedro el Cruel",1911,
tt0001592,Ekspeditricen,1911,45
tt0001602,"El fantasma del castillo",1911,
tt0001603,"Den farlige leg",1911,
tt0001604,"The Fatal Wedding",1911,
tt0001609,"Feria de ganado en Villarrodona",1911,
tt0001610,"Fiesta Mayor de Manresa",1911,
tt0001611,"Fiestas del Sitio en Bilbao",1911,
tt0001612,"Fiestas en La Bisbal",1911,
tt0001628,"The Four Poster Pest",1911,
tt0001630,"Der fremde Vogel",1911,45
tt0001648,"The Golden West",1911,
tt0001692,"The Great Moment",1911,
tt0001706,"The Infant at Snakeville",1911,
tt0001711,"Jahreszeiten des Lebens",1915,
tt0001712,"Jane Shore",1911,
tt0001716,"Julius Caesar's Sandals",1911,
tt0001731,"The Convict Hero",1911,
tt0001756,"Lucha por la herencia",1911,92
tt0001764,"Madero al sur del país",1911,
tt0001778,Menneskedyret,1911,
tt0001780,"Midsummer Tide",1911,
tt0001785,"The Miner's Curse",1911,
tt0001790,"Les Misérables, Part 1: Jean Valjean",1913,60
tt0001803,"The Mystery of a Hansom Cab",1911,
tt0001812,"Oedipus Rex",1911,56
tt0001826,"Par habitude",1911,
tt0001845,Pulgarcito,1911,
tt0001858,"Un clair de lune sous Richelieu",1911,
tt0001881,"Los siete niños de Écija o Los bandidos de Sierra Morena",1911,
tt0001889,"Skæbnebæltet",1911,
tt0001892,"Den sorte drøm",1911,53
tt0001895,"Sport Hípico",1911,
tt0001911,"Nell Gwynne",1911,
tt0001914,Regina,1913,
tt0001920,"Temblor de 1911 en México",1911,
tt0001964,"The Traitress",1911,48
tt0001965,"Vicio y virtud",1911,
tt0001992,"Zwei Frauen",1911,
tt0001993,"L'électrocuté",1911,
tt0001998,"The Adventures of Lieutenant Petrosino",1912,
tt0001999,"Agaton och Fina",1912,
tt0002001,"The Alaska-Siberian Expedition",1912,
tt0002019,"Amor de bestia",1912,
tt0002022,Anfisa,1912,
tt0002026,"Anny - Story of a Prostitute",1912,68
tt0002031,"As You Like It",1912,
tt0002039,"Atop of the World in Motion",1912,
tt0002040,"Las aventuras del Pollo Palomeque",1912,
tt0002044,"Le bagnard",1912,
tt0002046,"La Barrera número 13",1913,
tt0002047,"A Batalha",1912,
tt0002060,"Bernáték kikocsiznak",1912,
tt0002088,"Carlota Angela",1912,
tt0002089,Carmen,1912,
tt0002094,"Charles IV",1912,50
